date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2018-11-04,2058355653,131039278,0,0,172554576,133118176
2018-11-05,2006976009,134613399,0,0,170161635,137865825
2018-11-06,2045255261,134834230,0,0,162929237,137670059
2018-11-07,2047204954,135701197,0,0,160512981,137572269
2018-11-08,2051069806,135158925,0,0,160378412,138903239
2018-11-09,2056799409,136052183,0,0,159779487,137729570
2018-11-10,2052590304,135335502,0,0,159019522,137294703
2018-11-11,2049517477,136458936,0,0,159682018,136832075
2018-11-12,2052518489,136284805,0,0,160148597,133911084
2018-11-13,2043198070,141683058,0,0,161250103,135106657
2018-11-14,2036466264,148577983,0,0,163075381,134201315
2018-11-15,2018746895,146981646,0,0,162326506,133602806
2018-11-16,2035600553,145736700,0,0,162060220,136301504
2018-11-17,2038204380,146146329,0,0,162757782,137342794
2018-11-18,2042210996,145255943,0,0,162363167,137268050
2018-11-19,2047424658,146842391,0,0,163246502,139210108
2018-11-20,2024353861,161782020,0,0,169488094,136371100
2018-11-21,2018791813,166203162,0,0,173567392,138962594
2018-11-22,2038363322,169951951,0,0,184292007,141135752
2018-11-23,2038890911,169591535,0,0,184402061,143689689
2018-11-24,2043144656,170718063,0,0,187735351,142360668
2018-11-25,2025847078,170695963,0,0,188676893,143461035
2018-11-26,2039979024,171920667,0,0,188571038,139755019
2018-11-27,2033889118,175112665,0,0,195239118,138688907
2018-11-28,2035739633,178905401,0,0,193342499,136018526
2018-11-29,2047193813,179073854,0,0,194604884,144638637
2018-11-30,2055234817,179488337,0,0,197108516,163334471
2018-12-01,2047049156,179742796,0,0,197746152,168209440
2018-12-02,2050841698,179261826,0,0,197795426,167996767
2018-12-03,2041915651,180216664,0,0,197438438,186420362
2018-12-04,2052538550,179191321,0,0,198409544,176343944
2018-12-05,2052214663,179672596,0,0,201049418,163266425
2018-12-06,2037218818,182203423,0,0,201105534,167152079
2018-12-07,2037768260,185925217,0,0,202188943,171715855
2018-12-08,2060263852,186362018,0,0,205139153,174186803
2018-12-09,2052773624,186009060,0,0,205883399,174959373
2018-12-10,2034843481,191717217,0,0,206042489,171274903
2018-12-11,2056095154,191980058,0,0,209645536,165634323
2018-12-12,2055901920,202349332,0,0,209945221,159284203
2018-12-13,2053482907,201945778,0,0,212615796,156592106
2018-12-14,2049127393,204783088,0,0,213271811,155517835
2018-12-15,2065658182,204422470,0,0,213572791,155037028
2018-12-16,2055986706,204836482,0,0,213330122,155131642
2018-12-17,2042314619,215286065,0,0,212976931,151715189
2018-12-18,2078166973,214184707,0,0,212939378,150268205
2018-12-19,2097996364,224129739,0,0,211594621,148786639
2018-12-20,2067237406,225824771,0,0,208968509,148404331
2018-12-21,2062580881,228925654,0,0,208360130,155995054
2018-12-22,2056026307,229078541,0,0,206555289,155135522
2018-12-23,2086824772,227697887,0,0,207139669,155343298
2018-12-24,2068167684,228237621,0,0,206728630,154856379
2018-12-25,2066946009,227184144,0,0,205475946,154250330
2018-12-26,2060284718,229152576,0,0,205313410,151841524
2018-12-27,2067085802,238408339,0,0,206937623,149090846
2018-12-28,2056263838,240471674,0,0,204297244,143858959
2018-12-29,2064938691,241385120,0,0,201090473,143580955
